number	value fitness deviation
  208,	77025.725,46174.429,9278.476


  209,	77025.725,46486.907,7246.240


  210,	77025.725,48144.716,5758.590


  211,	77025.725,49050.471,8464.175


  212,	77025.725,49284.378,7229.215


  213,	77025.725,49588.437,9279.832


  214,	77025.725,47372.655,10982.428


  215,	77025.725,49039.656,11042.725


  216,	77025.725,49080.783,9349.427


  217,	77025.725,48560.881,11082.392


  218,	77025.725,52038.697,10194.184


  219,	77025.725,50914.133,8488.313


  220,	77025.725,46897.965,9241.020


  221,	77025.725,45658.393,8555.675


  222,	77025.725,45553.124,9919.736


  223,	77025.725,45220.022,8993.716


  224,	77025.725,45050.943,9303.281


  225,	77025.725,47387.132,8403.210


  226,	77025.725,46841.628,9555.209


  227,	77025.725,44773.918,9885.599


  228,	77025.725,45121.465,9818.325


  229,	77025.725,47430.172,7084.565


  230,	77025.725,47388.846,9380.144


  231,	77025.725,51684.935,10073.794


  232,	77025.725,51978.995,10668.428


  233,	77025.725,50534.272,10534.143


  234,	77025.725,45760.566,9837.136


  235,	77025.725,45870.498,9561.734


  236,	77025.725,48022.909,8271.570


  237,	77025.725,45303.876,6993.918


  238,	77025.725,43954.285,10394.638


  239,	77025.725,46803.097,9087.029


  240,	77025.725,43691.158,10735.152


  241,	77025.725,42845.273,11149.118


  242,	77025.725,43506.321,10238.210


  243,	77025.725,43685.894,8107.611


  244,	77025.725,47614.981,10113.569


  245,	77025.725,46015.236,8131.118


  246,	77025.725,47125.354,9826.340


  247,	77025.725,44994.366,7542.156


  248,	77025.725,48402.398,9260.297


  249,	77025.725,47536.381,9184.066


  250,	77025.725,49247.825,10885.643


  251,	77025.725,48684.355,9466.243


  252,	77025.725,48558.251,10102.543


  253,	77025.725,46299.271,10055.125


  254,	77025.725,44791.507,9002.366


  255,	77025.725,45855.016,8689.049


  256,	77025.725,46194.423,8244.887


  257,	77025.725,44549.636,6833.332


  258,	77025.725,44679.585,8662.541


  259,	77025.725,43986.534,7185.221


  260,	77025.725,42410.053,6975.169


  261,	77025.725,42338.804,8138.171


  262,	77025.725,42952.903,8750.253


  263,	77025.725,44328.359,7674.294


  264,	77025.725,42523.881,9045.340


  265,	77025.725,39895.368,8294.218


  266,	77025.725,40833.035,7566.358


  267,	77025.725,42138.670,8701.351


  268,	77025.725,42206.375,9693.456


  269,	77025.725,43481.816,7689.086


  270,	77025.725,44018.575,7131.863


  271,	77025.725,42293.543,7786.126


  272,	77025.725,42332.930,6921.544


  273,	77025.725,42952.728,6403.469


  274,	77025.725,44483.402,7439.313


  275,	77025.725,45893.372,7247.786


  276,	77025.725,46280.684,8118.199


  277,	77025.725,46926.749,9808.777


  278,	77025.725,46864.080,8180.182


  279,	77025.725,45760.253,8339.930


  280,	77025.725,45850.459,7892.977


  281,	77025.725,43496.875,7873.489


  282,	77025.725,40191.510,7446.856


  283,	77025.725,39919.467,9144.336


  284,	77025.725,40886.073,8121.884


  285,	77025.725,41085.812,10607.779


  286,	77025.725,43510.108,12160.154


  287,	77025.725,46225.223,11131.249


  288,	77025.725,46336.065,9324.939


  289,	77025.725,47487.787,10749.651


  290,	77025.725,46492.165,10132.994


  291,	77025.725,45847.266,8776.765


  292,	77025.725,45652.145,7954.183


  293,	77025.725,45494.204,9045.237


  294,	77025.725,45070.459,10097.236


  295,	77025.725,44468.363,10055.628


  296,	77025.725,46396.957,9289.476


  297,	77025.725,45261.135,8181.881


  298,	77025.725,45136.470,8672.277


  299,	77025.725,44693.797,8655.070


  300,	77025.725,48923.366,9530.430


  301,	77025.725,45949.642,8859.016


  302,	77025.725,46712.206,8553.149


  303,	77025.725,48975.006,7971.122


  304,	77025.725,46928.396,8677.596


  305,	77025.725,44470.257,8501.839


  306,	77025.725,46147.355,9335.966


  307,	77025.725,45319.293,7887.182


  308,	77025.725,45651.221,7948.590


  309,	77025.725,45893.257,8954.725


  310,	77025.725,43888.647,7382.378


  311,	77025.725,43965.329,6359.881


  312,	77025.725,43510.765,5202.466


  313,	77025.725,41857.353,7726.010


  314,	77025.725,39116.490,7825.532


  315,	77025.725,40535.192,8148.265


  316,	77025.725,37937.964,9047.142


  317,	77025.725,38393.970,10162.927


  318,	77025.725,39674.614,9623.918


  319,	77025.725,40408.761,12591.995


  320,	77025.725,42450.442,9247.506


  321,	77025.725,42122.429,6635.827


  322,	77025.725,43114.276,9786.630


  323,	77025.725,45246.371,9993.259


  324,	77025.725,43463.829,9019.161


  325,	77025.725,43851.761,10992.819


  326,	77025.725,43559.937,8957.761


  327,	77025.725,43156.655,7515.272


