number	value fitness deviation
  395,	771918.271,46005.236,8542.847


  396,	771918.271,45881.884,9121.883


  397,	771918.271,45489.559,10791.244


  398,	771918.271,45862.166,11165.563


  399,	771918.271,46369.663,8836.847


  400,	771918.271,44484.860,6893.965


  401,	771918.271,42464.898,7924.364


  402,	771918.271,41678.275,7060.250


  403,	771918.271,40845.177,6745.324


  404,	771918.271,41940.705,6091.135


  405,	771918.271,40272.652,6607.501


  406,	771918.271,40650.464,7023.280


  407,	771918.271,40469.134,7677.489


  408,	771918.271,41124.642,8027.379


  409,	771918.271,40118.453,5838.269


  410,	771918.271,39934.321,6619.190


  411,	771918.271,42632.890,7471.948


  412,	771918.271,43284.266,7568.448


  413,	771918.271,41342.466,8854.420


  414,	771918.271,42429.514,8243.783


  415,	771918.271,40954.984,8989.039


  416,	771918.271,40986.543,10585.262


  417,	771918.271,40590.595,8760.111


  418,	771918.271,42871.777,10482.504


  419,	771918.271,40798.422,9050.531


  420,	771918.271,41645.193,10440.372


  421,	771918.271,40563.734,8601.172


  422,	771918.271,41034.176,9786.522


  423,	771918.271,41569.091,9031.508


  424,	771918.271,42531.978,6799.253


  425,	771918.271,41345.241,7171.159


  426,	771918.271,39781.882,9669.747


  427,	771918.271,40280.032,10138.285


  428,	771918.271,40662.867,10992.447


  429,	771918.271,42172.302,10530.409


  430,	771918.271,42628.033,10762.937


  431,	771918.271,44280.746,11421.164


  432,	771918.271,41968.886,10101.375


  433,	771918.271,41053.537,7689.954


  434,	771918.271,38823.165,7814.897


  435,	771918.271,40765.331,9252.597


  436,	771918.271,42025.321,9580.731


  437,	771918.271,43253.765,9543.142


  438,	771918.271,43509.539,10544.434


  439,	771918.271,43532.916,10660.027


  440,	771918.271,41794.451,9536.302


  441,	771918.271,42592.930,7347.184


  442,	771918.271,42839.073,7959.165


  443,	771918.271,43707.595,8093.931


